domain,platform,keyword
github.com,hackerone,github
api.github.com,hackerone,github
gist.github.com,hackerone,github
classroom.github.com,hackerone,github
*.githubapp.com,hackerone,github
*.github.net,hackerone,github
education.github.com,hackerone,github
*.githubusercontent.com,hackerone,github
npmjs.com,hackerone,github
npmjs.org,hackerone,github
beta-cloud.acronis.com,hackerone,acronis
*-api-*.acronis.com,hackerone,acronis
*.acronis.com,hackerone,acronis
account.acronis.com,hackerone,acronis
*.5nine.com,hackerone,acronis
*.devicelock.com,hackerone,acronis
*.acronis.work,hackerone,acronis
cs.money,hackerone,cs_money
support.cs.money,hackerone,cs_money
wiki.cs.money,hackerone,cs_money
3d.cs.money,hackerone,cs_money
blog.cs.money,hackerone,cs_money
www.wickr.com,hackerone,wickr
admin.wickr.com,hackerone,wickr
*.eero.com,hackerone,eero
*.e2ro.com,hackerone,eero
prd-ring-web-us.prd.rings.solutions,hackerone,ring
https://*.immedia-semi.com/*,hackerone,ring
https://*.blinkforhome.com/*,hackerone,ring
publicsafety.ring.com,hackerone,ring
tax.audible.com,hackerone,audible
https://portal.exoscale.com/,intigriti,4d41a636-c811-4757-8fd9-007d7f18e212
https://api-*exoscale.com/v2,intigriti,4d41a636-c811-4757-8fd9-007d7f18e212
https://sos-*.exo.io,intigriti,4d41a636-c811-4757-8fd9-007d7f18e212
https://sks-*.exo.io,intigriti,4d41a636-c811-4757-8fd9-007d7f18e212
*.internal.exoscale.ch,intigriti,4d41a636-c811-4757-8fd9-007d7f18e212
https://www.exoscale.com/,intigriti,4d41a636-c811-4757-8fd9-007d7f18e212
https://community.exoscale.com/,intigriti,4d41a636-c811-4757-8fd9-007d7f18e212
www.arrowfilms.com,bugcrowd,hutgroup-public
www.cultbeauty.co.uk,bugcrowd,hutgroup-public
www.enjoyselfish.com,bugcrowd,hutgroup-public
www.illamasqua.com,bugcrowd,hutgroup-public
www.lookfantastic.com,bugcrowd,hutgroup-public
www.mankind.co.uk,bugcrowd,hutgroup-public
www.matalan.co.uk,bugcrowd,hutgroup-public
www.myprotein.com,bugcrowd,hutgroup-public
www.myvitamins.com,bugcrowd,hutgroup-public
*.transferwise.com,bugcrowd,wise
*.wise.com,bugcrowd,wise
github.com,bugcrowd,wise
transferwise.com,bugcrowd,wise
wise-sandbox.com,bugcrowd,wise
wise.com,bugcrowd,wise
*.points.com,bugcrowd,plusgrade-mbb-public
*.tools.thefork.tech,bugcrowd,thefork-mbb-og
api-ws.thefork.com,bugcrowd,thefork-mbb-og
api.thefork.com,bugcrowd,thefork-mbb-og
api.thefork.io,bugcrowd,thefork-mbb-og
blog.thefork.com,bugcrowd,thefork-mbb-og
m.thefork.com,bugcrowd,thefork-mbb-og
manager.thefork.com,bugcrowd,thefork-mbb-og
payment.lafourchette.com,bugcrowd,thefork-mbb-og
secure.thefork.com,bugcrowd,thefork-mbb-og
widget.thefork.com,bugcrowd,thefork-mbb-og
www.restaurant-information.com,bugcrowd,thefork-mbb-og
www.theforkmanager.com,bugcrowd,thefork-mbb-og
